Gene	Description	% Altered in PDXs
OR1L8	"olfactory receptor, family 1, subfamily L, member 8"	5.6%
OR2B2	"olfactory receptor, family 2, subfamily B, member 2"	8.3%
OR2M2	"olfactory receptor, family 2, subfamily M, member 2"	61.1%
OR2M3	"olfactory receptor, family 2, subfamily M, member 3"	5.6%
OR3A2	"olfactory receptor, family 3, subfamily A, member 2"	5.6%
OR4A15	"olfactory receptor, family 4, subfamily A, member 15"	5.6%
OR4D1	"olfactory receptor, family 4, subfamily D, member 1"	11.1%
OR4F6	"olfactory receptor, family 4, subfamily F, member 6"	5.6%
OR4K1	"olfactory receptor, family 4, subfamily K, member 1"	61.1%
OR4M2	"olfactory receptor, family 4, subfamily M, member 2"	13.9%
OR4X1	"olfactory receptor, family 4, subfamily X, member 1"	27.8%
OR51G2	"olfactory receptor, family 51, subfamily G, member 2"	25.0%
OR52A5	"olfactory receptor, family 52, subfamily A, member 5"	5.6%
OR52B6	"olfactory receptor, family 52, subfamily B, member 6"	5.6%
OR52L1	"olfactory receptor, family 52, subfamily L, member 1"	5.6%
OR5AS1	"olfactory receptor, family 5, subfamily AS, member 1"	25.0%
OR5H14	"olfactory receptor, family 5, subfamily H, member 14"	13.9%
OR5H15	"olfactory receptor, family 5, subfamily H, member 15"	13.9%
OR5P3	"olfactory receptor, family 5, subfamily P, member 3"	19.4%
OR5T1	"olfactory receptor, family 5, subfamily T, member 1"	5.6%
OR5T2	"olfactory receptor, family 5, subfamily T, member 2"	25.0%
OR5T3	"olfactory receptor, family 5, subfamily T, member 3"	8.3%
OR6B3	"olfactory receptor, family 6, subfamily B, member 3"	25.0%
OR6K2	"olfactory receptor, family 6, subfamily K, member 2"	11.1%
OR6N1	"olfactory receptor, family 6, subfamily N, member 1"	11.1%
OR6P1	"olfactory receptor, family 6, subfamily P, member 1"	13.9%
OR6T1	"olfactory receptor, family 6, subfamily T, member 1"	5.6%
OR6Y1	"olfactory receptor, family 6, subfamily Y, member 1"	52.8%
OR8A1	"olfactory receptor, family 8, subfamily A, member 1"	8.3%
OR8B4	"olfactory receptor, family 8, subfamily B, member 4"	41.7%
OR8D4	"olfactory receptor, family 8, subfamily D, member 4"	27.8%
OR8H3	"olfactory receptor, family 8, subfamily H, member 3"	27.8%
OR8J3	"olfactory receptor, family 8, subfamily J, member 3"	25.0%
OR9G1	"olfactory receptor, family 9, subfamily G, member 9; olfactory receptor, family 9, subfamily G, member 1"	11.1%
OSBPL5	oxysterol binding protein-like 5	5.6%
OSGIN2	oxidative stress induced growth inhibitor family member 2	11.1%
OTUD7B	OTU domain containing 7B	13.9%
OXSM	"3-oxoacyl-ACP synthase, mitochondrial"	5.6%
P2RY2	"purinergic receptor P2Y, G-protein coupled, 2"	5.6%
P4HTM	"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)"	11.1%
PACSIN1	protein kinase C and casein kinase substrate in neurons 1	5.6%
PAK7	p21 protein (Cdc42/Rac)-activated kinase 7	11.1%
PANX3	pannexin 3	8.3%
PAPSS1	3-phosphoadenosine 5-phosphosulfate synthase 1	5.6%
PATE1	prostate and testis expressed 1	5.6%
PAWR	"PRKC, apoptosis, WT1, regulator"	11.1%
PAX1	paired box 1	5.6%
PAX8	paired box 8	8.3%
PBRM1	polybromo 1	22.2%
PC	pyruvate carboxylase	8.3%
PCDH7	protocadherin 7	5.6%
PCF11	"PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)"	8.3%
PCOLCE2	procollagen C-endopeptidase enhancer 2	5.6%
PCSK1	proprotein convertase subtilisin/kexin type 1	5.6%
PCSK5	proprotein convertase subtilisin/kexin type 5	30.6%
PDCD6IP	programmed cell death 6 interacting protein	33.3%
PDE12	phosphodiesterase 12	13.9%
PDGFRA	"platelet-derived growth factor receptor, alpha polypeptide"	16.7%
PDPR	pyruvate dehydrogenase phosphatase regulatory subunit	63.9%
PDZD3	PDZ domain containing 3	44.4%
PDZD8	PDZ domain containing 8	8.3%
PDZRN3	PDZ domain containing ring finger 3	13.9%
PEX11B	peroxisomal biogenesis factor 11 beta	13.9%
PFKP	"phosphofructokinase, platelet"	5.6%
PGC	progastricsin (pepsinogen C)	5.6%
PGR	progesterone receptor	5.6%
PHF14	PHD finger protein 14	5.6%
PHF19	PHD finger protein 19	5.6%
PHF3	PHD finger protein 3	8.3%
PHLDB2	"pleckstrin homology-like domain, family B, member 2; phosphatidylinositol-specific phospholipase C, X domain containing 2"	11.1%
PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	11.1%
PHOX2A	paired-like homeobox 2a	5.6%
PI4KB	"phosphatidylinositol 4-kinase, catalytic, beta"	11.1%
PIGN	"phosphatidylinositol glycan anchor biosynthesis, class N"	22.2%
PITRM1	pitrilysin metallopeptidase 1	13.9%
PIWIL1	piwi-like 1 (Drosophila)	11.1%
PIWIL4	piwi-like 4 (Drosophila)	5.6%
PKD1	polycystic kidney disease 1 (autosomal dominant)	8.3%
PLA2G4C	"phospholipase A2, group IVC (cytosolic, calcium-independent)"	5.6%
PLAGL2	pleiomorphic adenoma gene-like 2; similar to pleiomorphic adenoma gene-like 2	11.1%
PLCG1	"phospholipase C, gamma 1"	5.6%
PLEC	"similar to Plectin 1 (PLTN) (PCN) (Hemidesmosomal protein 1) (HD1); plectin 1, intermediate filament binding protein 500kDa"	8.3%
PLEKHA5	"pleckstrin homology domain containing, family A member 5"	13.9%
PLXNA2	plexin A2	5.6%
PMCH	pro-melanin-concentrating hormone	11.1%
PNMAL1	PNMA-like 1	5.6%
PNP	nucleoside phosphorylase	33.3%
POM121L2	POM121 membrane glycoprotein-like 2 (rat)	8.3%
POP1	"processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)"	5.6%
POTEC	"POTE ankyrin domain family, member D; POTE ankyrin domain family, member C; POTE ankyrin domain family, member B"	19.4%
POU2F1	POU class 2 homeobox 1	11.1%
POU4F1	POU class 4 homeobox 1	8.3%
POU5F1B	POU class 5 homeobox 1B	8.3%
POU6F2	POU class 6 homeobox 2	52.8%
PPAPDC1A	phosphatidic acid phosphatase type 2 domain containing 1A	8.3%
PPARG	peroxisome proliferator-activated receptor gamma	5.6%
PPFIA2	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2"	13.9%
PPIL1	peptidylprolyl isomerase (cyclophilin)-like 1	5.6%
PPP1R9A	"protein phosphatase 1, regulatory (inhibitor) subunit 9A"	8.3%
PRAME	preferentially expressed antigen in melanoma	58.3%
PRCP	prolylcarboxypeptidase (angiotensinase C)	5.6%
PRDM8	PR domain containing 8	5.6%
PRG4	proteoglycan 4	5.6%
PRKAG3	"protein kinase, AMP-activated, gamma 3 non-catalytic subunit"	19.4%
PRKD1	protein kinase D1	19.4%
PRKD2	protein kinase D2	5.6%
PROP1	PROP paired-like homeobox 1	27.8%
PROS1	protein S (alpha)	11.1%
PROX1	prospero homeobox 1	5.6%
PRR23C	FLJ46210 protein	5.6%
PRTG	protogenin homolog (Gallus gallus)	5.6%
PSG3	pregnancy specific beta-1-glycoprotein 3	8.3%
PSG9	pregnancy specific beta-1-glycoprotein 9	25.0%
PTPLAD1	protein tyrosine phosphatase-like A domain containing 1	8.3%
PTPN21	"protein tyrosine phosphatase, non-receptor type 21"	8.3%
PTPN23	"protein tyrosine phosphatase, non-receptor type 23"	11.1%
PTPRB	"protein tyrosine phosphatase, receptor type, B"	11.1%
PTPRR	"protein tyrosine phosphatase, receptor type, R"	8.3%
PTS	6-pyruvoyltetrahydropterin synthase	8.3%
PVRL3	poliovirus receptor-related 3	5.6%
PWWP2A	PWWP domain containing 2A	5.6%
PYHIN1	"pyrin and HIN domain family, member 1"	13.9%
PZP	pregnancy-zone protein	38.9%
QRFPR	pyroglutamylated RFamide peptide receptor	36.1%
RAB27A	"RAB27A, member RAS oncogene family"	5.6%
RAD54B	RAD54 homolog B (S. cerevisiae)	8.3%
RAD54L2	RAD54-like 2 (S. cerevisiae)	16.7%
RAET1E	retinoic acid early transcript 1E	47.2%
RALGAPA2	chromosome 20 open reading frame 74	5.6%
RALYL	RALY RNA binding protein-like	11.1%
RASAL1	RAS protein activator like 1 (GAP1 like)	11.1%
RBBP8	retinoblastoma binding protein 8	13.9%
RBL1	retinoblastoma-like 1 (p107)	5.6%
RBL2	retinoblastoma-like 2 (p130)	13.9%
RCSD1	RCSD domain containing 1	13.9%
RDH8	retinol dehydrogenase 8 (all-trans)	16.7%
RET	ret proto-oncogene	13.9%
REV1	REV1 homolog (S. cerevisiae)	5.6%
REXO2	"REX2, RNA exonuclease 2 homolog (S. cerevisiae)"	11.1%
RGPD3	RANBP2-like and GRIP domain containing 5; RANBP2-like and GRIP domain containing 4; RANBP2-like and GRIP domain containing 3; RANBP2-like and GRIP domain containing 8; RANBP2-like and GRIP domain containing 7; RANBP2-like and GRIP domain containing 6	5.6%
RIMBP2	RIMS binding protein 2	11.1%
RIMS2	regulating synaptic membrane exocytosis 2	5.6%
RIOK1	RIO kinase 1 (yeast)	13.9%
RNASEL	"ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)"	5.6%
RNF144B	ring finger protein 144B	22.2%
RNF182	ring finger protein 182	11.1%
RNMT	RNA (guanine-7-) methyltransferase	13.9%
ROCK1	"similar to Rho-associated, coiled-coil containing protein kinase 1; Rho-associated, coiled-coil containing protein kinase 1"	8.3%
RP1	retinitis pigmentosa 1 (autosomal dominant)	36.1%
RPS6KA2	"ribosomal protein S6 kinase, 90kDa, polypeptide 2; hypothetical LOC100127984"	5.6%
RSPH3	radial spoke 3 homolog (Chlamydomonas)	22.2%
RSU1	Ras suppressor protein 1	5.6%
S100A6	S100 calcium binding protein A6	16.7%
S100A8	S100 calcium binding protein A8	11.1%
SACS	spastic ataxia of Charlevoix-Saguenay (sacsin)	13.9%
SALL3	sal-like 3 (Drosophila)	16.7%
SAMSN1	"SAM domain, SH3 domain and nuclear localization signals 1"	5.6%
SCN3B	"sodium channel, voltage-gated, type III, beta"	8.3%
SCN9A	"sodium channel, voltage-gated, type IX, alpha subunit"	5.6%
SCRIB	scribbled homolog (Drosophila)	8.3%
SDAD1	SDA1 domain containing 1	8.3%
SEC16A	SEC16 homolog A (S. cerevisiae)	5.6%
SEC31A	SEC31 homolog A (S. cerevisiae)	5.6%
SELP	"selectin P (granule membrane protein 140kDa, antigen CD62)"	11.1%
SEMA3F	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F"	11.1%
SEMA6D	"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D"	11.1%
SENP6	SUMO1/sentrin specific peptidase 6	5.6%
SERHL2	serine hydrolase-like 2	25.0%
SERPINB10	"serpin peptidase inhibitor, clade B (ovalbumin), member 10"	30.6%
SERPINB2	"serpin peptidase inhibitor, clade B (ovalbumin), member 2"	13.9%
SETD4	SET domain containing 4	5.6%
SETD5	SET domain containing 5	5.6%
SFMBT2	Scm-like with four mbt domains 2	8.3%
SGIP1	SH3-domain GRB2-like (endophilin) interacting protein 1	25.0%
SH2B1	SH2B adaptor protein 1	8.3%
SH3GL3	SH3-domain GRB2-like 3	16.7%
SHARPIN	SHANK-associated RH domain interactor	8.3%
SHQ1	SHQ1 homolog (S. cerevisiae)	41.7%
SIGLEC11	sialic acid binding Ig-like lectin 11	5.6%
SIGLEC12	sialic acid binding Ig-like lectin 12	25.0%
SLC12A1	"solute carrier family 12 (sodium/potassium/chloride transporters), member 1"	30.6%
SLC13A2	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2"	38.9%
SLC17A8	"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8"	11.1%
SLC25A26	"solute carrier family 25, member 26"	11.1%
SLC25A3	"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"	8.3%
SLC26A10	"RhoA/RAC/CDC42 exchange factor; solute carrier family 26, member 10"	5.6%
SLC26A8	"solute carrier family 26, member 8"	38.9%
SLC29A3	"solute carrier family 29 (nucleoside transporters), member 3; Sp9 transcription factor homolog (mouse)"	47.2%
SLC2A3	"solute carrier family 2 (facilitated glucose transporter), member 3"	8.3%
SLC35F1	"solute carrier family 35, member F1"	5.6%
SLC5A3	"solute carrier family 5 (sodium/myo-inositol cotransporter), member 3"	16.7%
SLC7A2	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"	27.8%
SLC9A9	"solute carrier family 9 (sodium/hydrogen exchanger), member 9"	19.4%
SLCO5A1	"solute carrier organic anion transporter family, member 5A1"	8.3%
SLFN12L	schlafen family member 12-like	80.6%
SLITRK5	"SLIT and NTRK-like family, member 5"	16.7%
SMC3	structural maintenance of chromosomes 3	5.6%
SMNDC1	survival motor neuron domain containing 1	13.9%
SNTG1	"syntrophin, gamma 1"	5.6%
SOCS2	suppressor of cytokine signaling 2	11.1%
SON	SON DNA binding protein	22.2%
SORBS1	sorbin and SH3 domain containing 1	11.1%
SORT1	sortilin 1	5.6%
SP100	SP100 nuclear antigen	8.3%
SPAG6	sperm associated antigen 6	5.6%
SPATA6	spermatogenesis associated 6	50.0%
SPHKAP	"SPHK1 interactor, AKAP domain containing"	38.9%
SPICE1	NA	8.3%
SPTA1	"spectrin, alpha, erythrocytic 1 (elliptocytosis 2)"	19.4%
SRSF7	NA	13.9%
SSTR3	somatostatin receptor 3	5.6%
ST3GAL4	"ST3 beta-galactoside alpha-2,3-sialyltransferase 4"	5.6%
ST7L	suppression of tumorigenicity 7 like	44.4%
ST8SIA6	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"	5.6%
STAB2	stabilin 2	11.1%
STAG1	stromal antigen 1	5.6%
STARD3	StAR-related lipid transfer (START) domain containing 3	77.8%
STOML1	stomatin (EPB72)-like 1	5.6%
STRA6	stimulated by retinoic acid gene 6 homolog (mouse)	5.6%
STT3B	"STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)"	5.6%
SULT2A1	"sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1"	5.6%
SUPV3L1	"suppressor of var1, 3-like 1 (S. cerevisiae)"	5.6%
SV2B	synaptic vesicle glycoprotein 2B; hypothetical protein LOC100128403	8.3%
SVEP1	"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"	5.6%
SVIL	supervillin	44.4%
SVOP	SV2 related protein homolog (rat)	11.1%
SYT4	synaptotagmin IV	13.9%
SYT7	synaptotagmin XVII; synaptotagmin VII	5.6%
TAOK2	TAO kinase 2	5.6%
TAS2R31	"taste receptor, type 2, member 31"	16.7%
TATDN1	TatD DNase domain containing 1	8.3%
TBCEL	tubulin folding cofactor E-like	11.1%
TCF7L2	"transcription factor 7-like 2 (T-cell specific, HMG-box)"	16.7%
TEAD3	TEA domain family member 3	5.6%
TECRL	steroid 5 alpha-reductase 2-like 2	8.3%
TECTA	tectorin alpha	13.9%
TET2	tet oncogene family member 2	33.3%
TGFBR2	"transforming growth factor, beta receptor II (70/80kDa)"	8.3%
TIGD7	tigger transposable element derived 7	8.3%
TLR4	toll-like receptor 4	13.9%
TM4SF19	transmembrane 4 L six family member 19	77.8%
TMC1	transmembrane channel-like 1	8.3%
TMED2	transmembrane emp24 domain trafficking protein 2	11.1%
TMEM132B	transmembrane protein 132B; hypothetical LOC121296	11.1%
TMEM136	transmembrane protein 136	11.1%
TMEM147	transmembrane protein 147	11.1%
TMEM200A	transmembrane protein 200A	8.3%
TMPRSS13	"transmembrane protease, serine 13"	11.1%
TMPRSS15	NA	8.3%
TMTC1	transmembrane and tetratricopeptide repeat containing 1	5.6%
TMUB2	transmembrane and ubiquitin-like domain containing 2	5.6%
TNC	tenascin C	8.3%
TNR	"tenascin R (restrictin, janusin)"	5.6%
TP53	tumor protein p53	86.1%
TPMT	thiopurine S-methyltransferase	13.9%
TPR	translocated promoter region (to activated MET oncogene)	25.0%
TPTE	transmembrane phosphatase with tensin homology	5.6%
TRAK1	"trafficking protein, kinesin binding 1"	13.9%
TRAK2	"trafficking protein, kinesin binding 2"	8.3%
TRERF1	transcriptional regulating factor 1	5.6%
TRIM33	tripartite motif-containing 33	13.9%
TRIM48	tripartite motif-containing 53; similar to Tripartite motif protein 49 (RING finger protein 18) (Testis-specific ring-finger protein); similar to ring finger protein 18; similar to hCG1988749; tripartite motif-containing 49; tripartite motif-containing 48; hypothetical protein LOC100131392	19.4%
TRIM58	tripartite motif-containing 58	36.1%
TRPC1	"transient receptor potential cation channel, subfamily C, member 1"	8.3%
TRPS1	trichorhinophalangeal syndrome I	8.3%
TRPV4	"transient receptor potential cation channel, subfamily V, member 4"	11.1%
TSC1	tuberous sclerosis 1	5.6%
TSC2	tuberous sclerosis 2	8.3%
TSNARE1	t-SNARE domain containing 1	50.0%
TST	thiosulfate sulfurtransferase (rhodanese)	5.6%
TTC23	tetratricopeptide repeat domain 23	5.6%
TTC29	tetratricopeptide repeat domain 29	33.3%
TTLL13	"tubulin tyrosine ligase-like family, member 13"	38.9%
TTLL2	"tubulin tyrosine ligase-like family, member 2"	11.1%
TTLL7	"tubulin tyrosine ligase-like family, member 7"	5.6%
TUBA3C	"tubulin, alpha 3d; tubulin, alpha 3c"	13.9%
TUBD1	"tubulin, delta 1"	50.0%
TUBGCP5	"tubulin, gamma complex associated protein 5"	16.7%
TULP1	tubby like protein 1	44.4%
TYK2	tyrosine kinase 2	5.6%
TYSND1	trypsin domain containing 1	5.6%
UBE2Q1	ubiquitin-conjugating enzyme E2Q family member 1	30.6%
UBE2Q2	ubiquitin-conjugating enzyme E2Q family member 2	25.0%
UBE3B	ubiquitin protein ligase E3B	13.9%
UBN2	ubinuclein 2	13.9%
UBR4	ubiquitin protein ligase E3 component n-recognin 4	5.6%
UCKL1	uridine-cytidine kinase 1-like 1	8.3%
UFC1	ubiquitin-fold modifier conjugating enzyme 1	13.9%
UGT1A9	"UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1"	5.6%
UGT2B7	"UDP glucuronosyltransferase 2 family, polypeptide B7"	5.6%
UNC13B	unc-13 homolog B (C. elegans)	13.9%
UNC93A	unc-93 homolog A (C. elegans)	22.2%
USH2A	"Usher syndrome 2A (autosomal recessive, mild)"	55.6%
USP18	ubiquitin specific peptidase 18	52.8%
USP2	ubiquitin specific peptidase 2	11.1%
USP21	ubiquitin specific peptidase 21	13.9%
USP24	ubiquitin specific peptidase 24	11.1%
USP29	ubiquitin specific peptidase 29	69.4%
USP34	ubiquitin specific peptidase 34	25.0%
UTP20	"similar to Down-regulated in metastasis protein (Key-1A6 protein) (Novel nucleolar protein 73) (NNP73); UTP20, small subunit (SSU) processome component, homolog (yeast)"	11.1%
UVRAG	UV radiation resistance associated gene	5.6%
VAC14	Vac14 homolog (S. cerevisiae)	8.3%
VAV3	vav 3 guanine nucleotide exchange factor	25.0%
VCL	vinculin	5.6%
VENTX	VENT homeobox homolog (Xenopus laevis)	8.3%
VIPR1	vasoactive intestinal peptide receptor 1	13.9%
VN1R4	similar to Vomeronasal type-1 receptor 4; vomeronasal 1 receptor 4	52.8%
VPRBP	Vpr (HIV-1) binding protein	13.9%
VPS13B	vacuolar protein sorting 13 homolog B (yeast)	25.0%
VPS36	vacuolar protein sorting 36 homolog (S. cerevisiae)	13.9%
WAPAL	wings apart-like homolog (Drosophila)	19.4%
WDR11	bromodomain and WD repeat domain containing 2	8.3%
WDR48	WD repeat domain 48	11.1%
WDR66	WD repeat domain 66	11.1%
WDR72	WD repeat domain 72	30.6%
WDR93	WD repeat domain 93	11.1%
WIPF2	"WAS/WASL interacting protein family, member 2"	5.6%
WNT3	"wingless-type MMTV integration site family, member 3"	8.3%
WNT5A	"wingless-type MMTV integration site family, member 5A"	13.9%
WNT9B	"wingless-type MMTV integration site family, member 9B"	8.3%
XIRP2	xin actin-binding repeat containing 2	11.1%
XPC	"xeroderma pigmentosum, complementation group C"	41.7%
XPO4	exportin 4	52.8%
YIPF7	"Yip1 domain family, member 7"	5.6%
YTHDF1	"YTH domain family, member 1"	8.3%
ZBP1	Z-DNA binding protein 1	5.6%
ZBTB20	zinc finger and BTB domain containing 20	8.3%
ZDHHC17	"zinc finger, DHHC-type containing 17"	11.1%
ZEB1	zinc finger E-box binding homeobox 1	5.6%
ZEB2	zinc finger E-box binding homeobox 2	11.1%
ZFAND3	"zinc finger, AN1-type domain 3"	8.3%
ZFP106	zinc finger protein 106 homolog (mouse)	19.4%
ZFP112	zinc finger protein 112 homolog (mouse)	13.9%
ZFP42	zinc finger protein 42 homolog (mouse)	8.3%
ZFP64	zinc finger protein 64 homolog (mouse)	5.6%
ZFPM2	"zinc finger protein, multitype 2"	8.3%
ZHX2	zinc fingers and homeoboxes 2	8.3%
ZIC1	"Zic family member 1 (odd-paired homolog, Drosophila)"	13.9%
ZIM2	"paternally expressed 3; PEG3 antisense RNA (non-protein coding); zinc finger, imprinted 2"	33.3%
ZMYM2	"zinc finger, MYM-type 2"	13.9%
ZNF107	zinc finger protein 107	5.6%
ZNF117	zinc finger protein 117	5.6%
ZNF133	zinc finger protein 133	19.4%
ZNF138	zinc finger protein 138	63.9%
ZNF214	zinc finger protein 214	5.6%
ZNF230	zinc finger protein 230	30.6%
ZNF257	zinc finger protein 257	8.3%
ZNF286B	zinc finger protein 286B	50.0%
ZNF317	zinc finger protein 317	33.3%
ZNF318	zinc finger protein 318	5.6%
ZNF382	zinc finger protein 382	11.1%
ZNF383	zinc finger protein 383	11.1%
ZNF408	zinc finger protein 408	8.3%
ZNF425	zinc finger protein 425	5.6%
ZNF429	zinc finger protein 429	5.6%
ZNF461	zinc finger protein 461	11.1%
ZNF462	zinc finger protein 462	27.8%
ZNF479	zinc finger protein 479; zinc finger protein 733	13.9%
ZNF511	zinc finger protein 511	8.3%
ZNF518A	zinc finger protein 518A	5.6%
ZNF536	zinc finger protein 536	16.7%
ZNF560	zinc finger protein 560	8.3%
ZNF573	zinc finger protein 573	13.9%
ZNF583	zinc finger protein 583	16.7%
ZNF609	zinc finger protein 609	5.6%
ZNF610	zinc finger protein 610	5.6%
ZNF615	zinc finger protein 615	38.9%
ZNF644	zinc finger protein 644	16.7%
ZNF679	zinc finger protein 679; zinc finger protein 735	5.6%
ZNF681	zinc finger protein 681	5.6%
ZNF687	zinc finger protein 687	5.6%
ZNF7	zinc finger protein 7	8.3%
ZNF704	zinc finger protein 704	8.3%
ZNF721	zinc finger protein 721	5.6%
ZNF727	zinc finger protein 727	5.6%
ZNF80	zinc finger protein 80	8.3%
ZNF805	zinc finger protein 805	13.9%
ZNF836	zinc finger protein 836	8.3%
ZNF98	zinc finger protein 98 (F7175); keratin associated protein 1-1; zinc finger protein 492; zinc finger protein 849 pseudogene	5.6%
ZNF99	zinc finger protein 99	25.0%
ZSCAN29	zinc finger and SCAN domain containing 29	11.1%
